id,name,slug,icon,type,description,range,created_at,updated_at
109,"{""en-US"":""Thermal Bank"",""zh-CN"":""热能池"",""ja-JP"":""蓄熱槽"",""ko-KR"":""열에너지 뱅크"",""zh-TW"":""熱能池""}",power_station_1,item_port_power_sta_1,,"{""en-US"":""The Thermal Bank converts heat into electrical power. It must be connected to the power grid to work."",""zh-CN"":""提供电能的热能转化设备，只有接入电网才能生效。"",""ja-JP"":""電力を供給するための熱エネルギー変換装置。電力系統に接続されている場合のみ使用可能。"",""ko-KR"":""전기 에너지를 공급하는 열에너지 전환 설비로, 전력망에 연결해야만 작동한다."",""zh-TW"":""提供電能的熱能轉化設備，只有接入電網才能生效。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:44
110,"{""en-US"":""Electric Nexus (TESTING)"",""zh-CN"":""供电终端（仅测试用）"",""ja-JP"":""給電端末（テスト用）"",""ko-KR"":""전력 단말기(테스트용)"",""zh-TW"":""供電終端（僅測試用）""}",power_terminal_1,item_port_power_terminal_1,,"{""en-US"":""This relay tower serves as a source of electric power."",""zh-CN"":""作为电源的终端中继器。"",""ja-JP"":""電源として使用される端末中継タワー。"",""ko-KR"":""전원을 사용하는 단말 중계기다."",""zh-TW"":""作為電源的終端中繼器。""}","{""depth"":2,""height"":7,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:45
111,"{""en-US"":""Fluid Pump"",""zh-CN"":""水泵"",""ja-JP"":""液体ポンプ"",""ko-KR"":""양수기"",""zh-TW"":""水泵""}",pump_1,item_port_pump_1,,"{""en-US"":""A facility for pumping bulk fluids."",""zh-CN"":""用于抽取液体的设备。"",""ja-JP"":""液体を汲み上げる設備。"",""ko-KR"":""액체를 뽑아내는 설비다."",""zh-TW"":""用於抽取液體的設備。""}","{""depth"":3,""height"":5,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:45
112,"{""en-US"":""Seed-Picking Unit"",""zh-CN"":""采种机"",""ja-JP"":""採種機"",""ko-KR"":""씨앗 추출기"",""zh-TW"":""採種機""}",seedcollector_1,item_port_seedcol_1,,"{""en-US"":""A facility that extracts seeds from common crops."",""zh-CN"":""能够采集普通植物种子的设备。"",""ja-JP"":""普通の植物の種を採種することができる機械。"",""ko-KR"":""일반 식물의 씨앗을 채집할 수 있는 설비다."",""zh-TW"":""能夠採集普通植物種子的設備。""}","{""depth"":5,""height"":4,""width"":5,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:45
113,"{""en-US"":""Moulding Unit"",""zh-CN"":""塑形机"",""ja-JP"":""塑形機"",""ko-KR"":""성형기"",""zh-TW"":""塑形機""}",shaper_1,item_port_shaper_1,,"{""en-US"":""A facility that produces various containers via stamp moulding."",""zh-CN"":""能够冲压各种容器的设备。"",""ja-JP"":""さまざまな容器をプレス加工できる機械。"",""ko-KR"":""각종 용기에 압력을 가하여 모양을 변형할 수 있는 설비다."",""zh-TW"":""能夠衝壓各種容器的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:45
114,"{""en-US"":""TEST_Dry Plot"",""zh-CN"":""测试_旱田"",""ja-JP"":""試験用陸田"",""ko-KR"":""테스트_마른 논"",""zh-TW"":""測試_旱田""}",soil_1,,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Test Crop 1."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量实验产物1。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量の実験産物1を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 실험 산물 1을 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量實驗產物1。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:46
115,"{""en-US"":""TEST_Wet Plot"",""zh-CN"":""测试_水田"",""ja-JP"":""試験用水田"",""ko-KR"":""테스트_무논"",""zh-TW"":""測試_水田""}",soil_2,,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Test Crop 2."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量实验产物2。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量の実験産物2を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 실험 산물 2를 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量實驗產物2。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:46
116,"{""en-US"":""Aketine Plot"",""zh-CN"":""酮化灌木田块"",""ja-JP"":""アケトン樹木の栽培用地"",""ko-KR"":""아케톤 논배미"",""zh-TW"":""酮化灌木田塊""}",soil_bbflower_1,item_port_soil_bbflower_1,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Aketine."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量酮化灌木。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量のアケトン樹木を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 아케톤을 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量酮化灌木。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:48,2025-11-15 00:47:46
117,"{""en-US"":""Jincao Plot"",""zh-CN"":""锦草田块"",""ja-JP"":""錦草の栽培用地"",""ko-KR"":""금초 논배미"",""zh-TW"":""錦草田塊""}",soil_grass_1,item_port_soil_grass_1,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Jincao and a higher chance of Fluffed Jincao."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量锦草，有较高概率额外获得蓬茸锦草。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、大量の錦草が収穫でき、高い確率で毛羽錦草を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면 금초를 대량으로 수확할 수 있으며 비교적 높은 확률로 우거진 금초를 추가로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量錦草，有較高機率額外獲得蓬茸錦草。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:46
118,"{""en-US"":""Yazhen Plot"",""zh-CN"":""芽针田块"",""ja-JP"":""芽針の栽培用地"",""ko-KR"":""야침 논배미"",""zh-TW"":""芽針田塊""}",soil_grass_2,item_port_soil_grass_2,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Yazhen and a higher chance of Thorny Yazhen."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量芽针，有较高概率额外获得荆刺芽针。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、大量の芽針が収穫でき、高い確率で茨芽針を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면 야침을 대량으로 수확할 수 있으며 비교적 높은 확률로 가시 야침을 추가로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量芽針，有較高機率額外獲得荊刺芽針。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:47
119,"{""en-US"":""Jincao Plot (SIM)"",""zh-CN"":""模拟锦草田块"",""ja-JP"":""錦草の模擬栽培用地"",""ko-KR"":""시뮬레이션 금초 논배미"",""zh-TW"":""模擬錦草田塊""}",soil_grass_fast_1,item_port_soil_grass_1,,"{""en-US"":""A simulated farm plot with faster growth rate than its real counterpart. To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Jincao."",""zh-CN"":""模拟空间内专用田块，生长速度远快于正常田块。此田块上按步骤进行精细种植，收获后可获得大量锦草。"",""ja-JP"":""通常より成長速度が大幅に上回る、模擬空間専用の栽培用地。この栽培用地で手順に従って栽培すると、大量の錦草を収穫できる。"",""ko-KR"":""시뮬레이션 공간 전용 논배미로, 성장 속도가 일반 논배미보다 훨씬 빠르다. 해당 논배미에서 단계별로 정밀 재배를 진행하면, 금초를 대량으로 수확할 수 있다."",""zh-TW"":""模擬空間內專用田塊，生長速度遠快於正常田塊。此田塊上按步驟進行精細種植，收穫後可獲得大量錦草。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:47
120,"{""en-US"":""Yazhen Plot (SIM)"",""zh-CN"":""模拟芽针田块"",""ja-JP"":""芽針の模擬栽培用地"",""ko-KR"":""시뮬레이션 야침 논배미"",""zh-TW"":""模擬芽針田塊""}",soil_grass_fast_2,item_port_soil_grass_2,,"{""en-US"":""A simulated farm plot with faster growth rate than its real counterpart. To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Yazhen."",""zh-CN"":""模拟空间内专用田块，生长速度远快于正常田块。此田块上按步骤进行精细种植，收获后可获得大量芽针。"",""ja-JP"":""通常より成長速度が大幅に上回る、模擬空間専用の栽培用地。この栽培用地で手順に従って栽培すると、大量の芽針を収穫できる。"",""ko-KR"":""시뮬레이션 공간 전용 논배미로, 성장 속도가 일반 논배미보다 훨씬 빠르다. 해당 논배미에서 단계별로 정밀 재배를 진행하면, 야침을 대량으로 수확할 수 있다."",""zh-TW"":""模擬空間內專用田塊，生長速度遠快於正常田塊。此田塊上按步驟進行精細種植，收穫後可獲得大量芽針。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:47
121,"{""en-US"":""Buckflower Plot"",""zh-CN"":""荞花田块"",""ja-JP"":""蕎花の栽培用地"",""ko-KR"":""앵초 논배미"",""zh-TW"":""蕎花田塊""}",soil_moss_1,item_port_soil_moss_1,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Buckflowers and a higher chance of Firebuckle."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量荞花，有较高概率额外获得映火荞花。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、大量の蕎花が収穫でき、高い確率で火映蕎花を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면 앵초를 대량으로 수확할 수 있으며 비교적 높은 확률로 파이어 앵초를 추가로 수확할 수 있습니다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量蕎花，有較高機率額外獲得映火蕎花。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:47
122,"{""en-US"":""Citrome Plot"",""zh-CN"":""柑实田块"",""ja-JP"":""シトロームの栽培用地"",""ko-KR"":""시트롬 논배미"",""zh-TW"":""柑實田塊""}",soil_moss_2,item_port_soil_moss_2,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Citromes and a higher chance of Umbraline."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量柑实，有较高概率额外获得黯银柑实。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、大量のシトロームが収穫でき、高い確率で黒銀シトロームを入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면 시트롬을 대량으로 수확할 수 있으며 비교적 높은 확률로 다크 시트롬을 추가로 수확할 수 있습니다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量柑實，有較高機率額外獲得黯銀柑實。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:47
123,"{""en-US"":""Sandleaf Plot"",""zh-CN"":""砂叶田块"",""ja-JP"":""サンドリーフの栽培用地"",""ko-KR"":""샌드리프 논배미"",""zh-TW"":""砂葉田塊""}",soil_moss_3,item_port_soil_moss_3,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Sandleaves."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量砂叶。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量のサンドリーフを入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 샌드리프를 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量砂葉。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:47
124,"{""en-US"":""Reed Rye Plot"",""zh-CN"":""灰芦麦田块"",""ja-JP"":""灰麦の栽培用地"",""ko-KR"":""회보리 논배미"",""zh-TW"":""灰蘆麥田塊""}",soil_sp_1,item_port_soil_sp_1,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Reed Rye."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量灰芦麦。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量の灰麦を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 회보리를 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量灰蘆麥。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:47
125,"{""en-US"":""Tartpepper Plot"",""zh-CN"":""苦叶椒田块"",""ja-JP"":""苦葉椒の栽培用地"",""ko-KR"":""쓴 맛 나는 고추 논배미"",""zh-TW"":""苦葉椒田塊""}",soil_sp_2,item_port_soil_sp_2,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Tartpeppers."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量苦叶椒。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量の苦葉椒を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 쓴 맛 나는 고추를 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量苦葉椒。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:48
126,"{""en-US"":""Redjade Ginseng Plot"",""zh-CN"":""琼叶参田块"",""ja-JP"":""玉葉人参の栽培用地"",""ko-KR"":""붉은 제이드 인삼 논배미"",""zh-TW"":""瓊葉蔘田塊""}",soil_sp_3,item_port_soil_sp_3,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Redjade Ginseng."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量琼叶参。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量の玉葉人参を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 붉은 제이드 인삼을 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量瓊葉蔘。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:48
127,"{""en-US"":""Amber Rice Plot"",""zh-CN"":""金石稻田块"",""ja-JP"":""金石稲の栽培用地"",""ko-KR"":""금석벼 논배미"",""zh-TW"":""金石稻田塊""}",soil_sp_4,item_port_soil_sp_4,,"{""en-US"":""To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Amber Rice."",""zh-CN"":""此田块上按步骤进行精细种植，收获后可获得大量金石稻。"",""ja-JP"":""この栽培用地で手順に従って栽培すると、収穫後に大量の金石稲を入手できる。"",""ko-KR"":""해당 논배미에서 단계별로 정밀 재배를 진행하면, 금석벼를 대량으로 수확할 수 있다."",""zh-TW"":""此田塊上按步驟進行精細種植，收穫後可獲得大量金石稻。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:48
128,"{""en-US"":""Redjade Ginseng Plot (SIM)"",""zh-CN"":""模拟琼叶参田块"",""ja-JP"":""玉葉人参の模擬栽培用地"",""ko-KR"":""시뮬레이션 붉은 제이드 인삼 논배미"",""zh-TW"":""模擬瓊葉蔘田塊""}",soil_sp_fast_3,item_port_soil_sp_3,,"{""en-US"":""A simulated farm plot with faster growth rate than its real counterpart. To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Redjade Ginseng."",""zh-CN"":""模拟空间内专用田块，生长速度远快于正常田块。此田块上按步骤进行精细种植，收获后可获得大量琼叶参。"",""ja-JP"":""通常より成長速度が大幅に上回る、模擬空間専用の栽培用地。この栽培用地で手順に従って栽培すると、大量の玉葉人参を収穫できる。"",""ko-KR"":""시뮬레이션 공간 전용 논배미로, 성장 속도가 일반 논배미보다 훨씬 빠르다. 해당 논배미에서 단계별로 정밀 재배를 진행하면, 붉은 제이드 인삼을 대량으로 수확할 수 있다."",""zh-TW"":""模擬空間內專用田塊，生長速度遠快於正常田塊。此田塊上按步驟進行精細種植，收穫後可獲得大量瓊葉蔘。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:48
129,"{""en-US"":""Amber Rice Plot (SIM)"",""zh-CN"":""模拟金石稻田块"",""ja-JP"":""金石稲の模擬栽培用地"",""ko-KR"":""시뮬레이션 금석벼 논배미"",""zh-TW"":""模擬金石稻田塊""}",soil_sp_fast_4,item_port_soil_sp_4,,"{""en-US"":""A simulated farm plot with faster growth rate than its real counterpart. To use this plot, follow the steps of fine cultivation and harvest the ripened crops to get plenty of Amber Rice."",""zh-CN"":""模拟空间内专用田块，生长速度远快于正常田块。此田块上按步骤进行精细种植，收获后可获得大量金石稻。"",""ja-JP"":""通常より成長速度が大幅に上回る、模擬空間専用の栽培用地。この栽培用地で手順に従って栽培すると、大量の金石稲を収穫できる。"",""ko-KR"":""시뮬레이션 공간 전용 논배미로, 성장 속도가 일반 논배미보다 훨씬 빠르다. 해당 논배미에서 단계별로 정밀 재배를 진행하면, 금석벼를 대량으로 수확할 수 있다."",""zh-TW"":""模擬空間內專用田塊，生長速度遠快於正常田塊。此田塊上按步驟進行精細種植，收穫後可獲得大量金石稻。""}","{""depth"":4,""height"":1,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:49
130,"{""en-US"":""PAC"",""zh-CN"":""协议核心"",""ja-JP"":""協約核心"",""ko-KR"":""프로토콜 앵커-코어"",""zh-TW"":""協議核心""}",sp_hub_1,item_port_sp_hub_1,,"{""en-US"":""The core of the Endfield AIC technology. It serves as the nexus of the AIC and its power grid."",""zh-CN"":""终末地的技术核心，一种大型能量利用设备组。"",""ja-JP"":""エンドフィールドの技術の核心。エネルギーを利用するための大型複合設備。"",""ko-KR"":""엔드필드의 핵심 기술, 일종의 대형 에너지 활용 설비 세트다."",""zh-TW"":""終末地的技術核心，一種大型能量利用設備組。""}","{""depth"":9,""height"":10,""width"":9,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:49
131,"{""en-US"":""Manufacturing Station"",""zh-CN"":""制造站"",""ja-JP"":""製造室"",""ko-KR"":""제작소"",""zh-TW"":""製造站""}",sp_mfg_sta_1,item_port_sp_mfg_sta_1,,"{""en-US"":""A workstation that manufactures items related to the Originium Arts. The manufacturing process will take a while."",""zh-CN"":""用来消耗一定时间以产出源石技术相关物品的站点。"",""ja-JP"":""一定時間かけて源石技術関連のアイテムを製造できる場所。"",""ko-KR"":""일정 시간을 소모하여 오리지늄 기술 관련 아이템을 생산하는 장소다."",""zh-TW"":""用來消耗一定時間以產出源石技術相關物品的站點。""}","{""depth"":4,""height"":4,""width"":6,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:49
132,"{""en-US"":""Assembly Station"",""zh-CN"":""装配站"",""ja-JP"":""組立所"",""ko-KR"":""정비소"",""zh-TW"":""裝配站""}",sp_proc_sta_1,item_port_sp_proc_sta_1,,"{""en-US"":""A workstation that can instantly assemble certain products."",""zh-CN"":""用来瞬间装配相关物品的站点。"",""ja-JP"":""関連アイテムを瞬時に組み立てることができる場所。"",""ko-KR"":""관련 아이템을 바로 조립할 수 있는 장소다."",""zh-TW"":""用來瞬間裝配相關物品的站點。""}","{""depth"":4,""height"":4,""width"":6,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:49
133,"{""en-US"":""Recycling Station"",""zh-CN"":""回收站"",""ja-JP"":""回収所"",""ko-KR"":""재활용센터"",""zh-TW"":""回收站""}",sp_rec_sta_1,item_port_sp_rec_sta_1,,"{""en-US"":""A workstation that can recycle certain materials."",""zh-CN"":""用来回收材料的站点。"",""ja-JP"":""材料をリサイクルするための場所。"",""ko-KR"":""재료를 수거하는 장소다."",""zh-TW"":""用來回收材料的站點。""}","{""depth"":4,""height"":4,""width"":6,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:49
134,"{""en-US"":""Sub-PAC"",""zh-CN"":""次级核心"",""ja-JP"":""サブ協約核心"",""ko-KR"":""서브 코어"",""zh-TW"":""次級核心""}",sp_sub_hub_1,item_port_sp_sub_hub_1,,"{""en-US"":""A smaller version of the Endfield technological nexus. It works like the original PAC."",""zh-CN"":""终末地技术核心的子版本，与母版本基本一致。"",""ja-JP"":""エンドフィールドの協約核心のサブバージョン。協約核心と基本的に同じ。"",""ko-KR"":""엔드필드 핵심 기술의 하위 버전, 원래 버전과 큰 차이가 없다."",""zh-TW"":""終末地技術核心的子版本，與母版本基本上一致。""}","{""depth"":9,""height"":10,""width"":9,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:50
135,"{""en-US"":""Trading Station"",""zh-CN"":""贸易站"",""ja-JP"":""貿易所"",""ko-KR"":""무역소"",""zh-TW"":""貿易站""}",sp_trd_sta_1,item_port_sp_trd_sta_1,,"{""en-US"":""The Trading Station lets you trade with other factions."",""zh-CN"":""用来与其他势力贸易的站点。"",""ja-JP"":""他の勢力と貿易を行うための場所。"",""ko-KR"":""다른 세력과의 거래를 진행하는 장소다."",""zh-TW"":""用來與其他勢力貿易的站點。""}","{""depth"":4,""height"":4,""width"":6,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:50
136,"{""en-US"":""Construction Terminal"",""zh-CN"":""总装终端"",""ja-JP"":""製造ターミナル"",""ko-KR"":""제조 터미널"",""zh-TW"":""總裝終端""}",sp_workshop_1,item_port_sp_workshop_1,,"{""en-US"":""The Construction Terminal (CON-Term) is a workstation that lets you construct various AIC facilities for the Automated Industry Complex (AIC; also known as the Factory)."",""zh-CN"":""用来总装集成化工业系统所需设备的站点。"",""ja-JP"":""集成工業システムに必要な設備を組み立てるための場所。"",""ko-KR"":""통합 공업 시스템에 필요한 설비를 설치하는 장소다."",""zh-TW"":""用來總裝集成化工業系統所需設備的站點。""}","{""depth"":4,""height"":4,""width"":4,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:50
137,"{""en-US"":""Sprinkler"",""zh-CN"":""洒水机"",""ja-JP"":""スプリンクラー"",""ko-KR"":""스프링클러"",""zh-TW"":""灑水機""}",squirter_1,item_port_squirter_1,,"{""en-US"":""A facility that sprays fluids in a fixed direction."",""zh-CN"":""向固定位置喷洒液体的设备。"",""ja-JP"":""固定位置に液体を散布する設備。"",""ko-KR"":""고정된 위치로 액체를 뿌리는 설비다."",""zh-TW"":""向固定位置噴灑液體的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:49,2025-11-15 00:47:50
138,"{""en-US"":""Sprinkler"",""zh-CN"":""洒水机"",""ja-JP"":""スプリンクラー"",""ko-KR"":""스프링클러"",""zh-TW"":""灑水機""}",squirter_nop_1,item_port_squirter_1,,"{""en-US"":""A facility that sprays fluids in a fixed direction."",""zh-CN"":""向固定位置喷洒液体的设备。"",""ja-JP"":""固定位置に液体を散布する設備。"",""ko-KR"":""고정된 위치로 액체를 뿌리는 설비다."",""zh-TW"":""向固定位置噴灑液體的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:50,2025-11-15 00:47:51
139,"{""en-US"":""Protocol Stash"",""zh-CN"":""协议储存箱"",""ja-JP"":""協約貯蔵箱"",""ko-KR"":""프로토콜 저장함"",""zh-TW"":""協議儲存箱""}",storager_1,item_port_storager_1,,"{""en-US"":""A storage facility with several item storage slots. When powered, it can transfer items to the Depot. It can also be used as a point to unload items in the AIC."",""zh-CN"":""拥有数个格子的储物设备，在通电状态下可将其中物品转移至仓库，也可作为物品输出端直接用于工厂内部。"",""ja-JP"":""複数のアイテムを保管できる設備。通電中は、アイテムを倉庫に転送することができる。さらに、直接アイテムを工場へと輸出し、工場内で使用することができる。"",""ko-KR"":""여러 개 칸을 가진 저장 설비로, 전력 공급 상태에서 아이템을 창고로 옮기거나 공장 내부에서 직접 사용할 수 있는 출력 단말기로 활용할 수 있다."",""zh-TW"":""擁有數個格子的儲物設備，在通電狀態下可將其中物品轉移至倉庫，也可作為物品輸出端直接用於工廠內部。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:50,2025-11-15 00:47:51
140,"{""en-US"":""Protocol Stash"",""zh-CN"":""协议储存箱"",""ja-JP"":""協約貯蔵箱"",""ko-KR"":""프로토콜 저장함"",""zh-TW"":""協議儲存箱""}",storager_nop_1,item_port_storager_1,,"{""en-US"":""A storage facility with several item storage slots. When powered, it can transfer items to the Depot. It can also be used as a point to unload items in the AIC."",""zh-CN"":""拥有数个格子的储物设备，在通电状态下可将其中物品转移至仓库，也可作为物品输出端直接用于工厂内部。"",""ja-JP"":""複数のアイテムを保管できる設備。通電中は、アイテムを倉庫に転送することができる。さらに、直接アイテムを工場へと輸出し、工場内で使用することができる。"",""ko-KR"":""여러 개 칸을 가진 저장 설비로, 전력 공급 상태에서 아이템을 창고로 옮기거나 공장 내부에서 직접 사용할 수 있는 출력 단말기로 활용할 수 있다."",""zh-TW"":""擁有數個格子的儲物設備，在通電狀態下可將其中物品轉移至倉庫，也可作為物品輸出端直接用於工廠內部。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:50,2025-11-15 00:47:51
141,"{""en-US"":""Grinding Unit"",""zh-CN"":""研磨机"",""ja-JP"":""研磨機"",""ko-KR"":""연마기"",""zh-TW"":""研磨機""}",thickener_1,item_port_thickener_1,,"{""en-US"":""A facility that performs fine grinding of powdered materials."",""zh-CN"":""可以对粉末材料进行细致研磨处理的设备。"",""ja-JP"":""粉末材料を細かく研磨加工する機械。"",""ko-KR"":""분말 재료를 세밀하게 연마할 수 있는 설비다."",""zh-TW"":""可以對粉末材料進行細緻研磨處理的設備。""}","{""depth"":4,""height"":5,""width"":6,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:50,2025-11-15 00:47:51
